estimator_global_position.lat,estimator_global_position.lon,home_position.lat,home_position.lon,radio_status.rxerrors,radio_status.fix,radio_status.rssi,radio_status.noise,radio_status.remote_noise,sensor_gps.lat,sensor_gps.lon,vehicle_global_position.lat,vehicle_global_position.lon,vehicle_gps_position.lat,vehicle_gps_position.lon
47.32424303832208,38.775623673468615,47.32424303419767,38.775623698437094,2,0,87,53,29,473242430,387756233,47.32424303832208,38.775623673468615,473242430,387756233
47.32424303827169,38.775623671901265,47.324243072013516,38.775623563089844,2,0,95,41,54,473242430,387756233,47.32424303827169,38.775623671901265,473242430,387756233
47.32424308091495,38.775623554935194,47.324243072013516,38.775623563089844,2,0,102,49,41,473242431,387756231,47.324243046826176,38.77562364279853,473242430,387756232
47.324243161656945,38.7756234153928,,,2,0,96,41,30,473242433,387756230,47.3242430488953,38.77562360183233,473242431,387756231
47.32424377881002,38.77562287618803,,,2,0,100,47,29,473242437,387756226,47.32424303990246,38.775623563837925,473242432,387756231
47.324246167502615,38.775620885670854,,,2,0,110,46,33,473242460,387756211,47.32424306920843,38.775623562239744,473242433,387756230
47.32424812203783,38.775617692750316,,,2,0,119,48,37,473242481,387756180,47.32424308091495,38.775623554935194,473242433,387756227
47.32424672365068,38.775616771219454,,,2,0,115,48,34,473242470,387756171,47.32424308306715,38.775623527846605,473242437,387756226
47.32424398468023,38.775616934169285,,,2,0,125,52,26,473242440,387756180,47.32424309605399,38.77562349011396,473242449,387756218
47.32424428992881,38.77560698583066,,,2,0,116,53,30,473242436,387756083,47.324243125125726,38.77562346710665,473242460,387756211
47.3242483011138,38.775592812933056,,,2,0,119,53,46,473242475,387755944,47.32424314599098,38.77562343700593,473242473,387756192
47.324253365499196,38.775580559990274,,,2,0,122,49,24,473242528,387755822,47.324243161656945,38.7756234153928,473242481,387756180
47.324253457576056,38.77557020900497,,,2,0,123,53,50,473242471,387755696,47.324243189885756,38.77562332288434,473242479,387756173
47.32425239344488,38.77555975868785,,,2,0,121,54,32,473242393,387755619,47.32424320849027,38.77562321154792,473242470,387756171
47.32425329515427,38.77554982399377,,,2,0,116,53,19,473242291,387755535,47.32424327326853,38.77562315350694,473242454,387756179
47.324256707809845,38.775541042011724,,,2,0,110,47,39,473242189,387755451,47.32424345631675,38.77562307962482,473242440,387756180
47.32426229913265,38.77553004453443,,,2,0,108,54,48,473242025,387755574,47.32424377881002,38.77562287618803,473242430,387756159
47.324266206806904,38.775519078442876,,,2,0,104,61,52,473241893,387755578,47.32424419617255,38.77562259438096,473242436,387756083
47.32426793973159,38.775504098031504,,,2,0,102,45,51,473241761,387755582,47.32424467910881,38.775622223275256,473242458,387756000
47.32426973158721,38.77548994822963,,,2,0,99,60,50,473241629,387755586,47.3242450948769,38.77562189416576,473242475,387755944
47.32427193772815,38.77547829001726,,,2,0,91,51,33,473241497,387755589,47.3242456216042,38.7756214581625,473242508,387755866
47.324272139538714,38.77547736957203,,,2,0,86,56,26,473241365,387755593,47.324246167502615,38.775620885670854,473242528,387755822
,,,,2,0,79,49,26,473241233,387755597,47.324246652456246,38.77562020481653,473242500,387755737
,,,,2,0,79,46,26,473241101,387755601,47.32424707774572,38.775619506094635,473242471,387755696
,,,,3,0,70,47,29,473240969,387755604,47.3242474763807,38.7756188071088,473242435,387755654
,,,,4,0,68,48,29,473240837,387755608,47.324247867458624,38.77561823302603,473242393,387755619
,,,,5,0,68,43,29,473240784,387755610,47.32424811188152,38.775617719177994,473242332,387755569
,,,,,,,,,,,47.32424816105761,38.77561725758491,473242291,387755535
,,,,,,,,,,,47.32424800608972,38.77561692400776,473242230,387755485
,,,,,,,,,,,47.324247716432765,38.77561676987146,473242189,387755451
,,,,,,,,,,,47.32424726072589,38.77561673559121,473242078,387755573
,,,,,,,,,,,47.32424672365068,38.775616771219454,473242025,387755574
,,,,,,,,,,,47.324246184433456,38.7756169178614,473241946,387755576
,,,,,,,,,,,47.32424559029008,38.77561713799918,473241893,387755578
,,,,,,,,,,,47.32424505991104,38.77561738414245,473241813,387755580
,,,,,,,,,,,47.32424450053613,38.77561741385794,473241761,387755582
,,,,,,,,,,,47.32424398468023,38.775616934169285,473241681,387755584
,,,,,,,,,,,47.32424354230782,38.77561575490203,473241629,387755586
,,,,,,,,,,,47.32424333298009,38.77561395978843,473241549,387755588
,,,,,,,,,,,47.324243473440596,38.775611849743974,473241497,387755589
,,,,,,,,,,,47.32424379083308,38.775609497368734,473241417,387755592
,,,,,,,,,,,47.32424428992881,38.77560698583066,473241365,387755593
,,,,,,,,,,,47.32424494219956,38.77560432104647,473241285,387755595
,,,,,,,,,,,47.324245714151864,38.7756015171547,473241233,387755597
,,,,,,,,,,,47.32424655150896,38.7755985907596,473241153,387755599
,,,,,,,,,,,47.324247411157096,38.77559566212646,473241101,387755601
,,,,,,,,,,,47.3242483011138,38.775592812933056,473241021,387755603
,,,,,,,,,,,47.324249335442495,38.77559006452754,473240969,387755604
,,,,,,,,,,,47.32425043381477,38.77558747418388,473240889,387755607
,,,,,,,,,,,47.324251431632824,38.77558499088023,473240837,387755608
,,,,,,,,,,,47.324252408697646,38.77558265505929,473240784,387755610
,,,,,,,,,,,47.324253365499196,38.775580559990274,473240784,387755610
,,,,,,,,,,,47.32425402892962,38.77557859042014,,
,,,,,,,,,,,47.32425415919352,38.7755765140744,,
,,,,,,,,,,,47.32425397819009,38.775574422087026,,
,,,,,,,,,,,47.324253679948775,38.77557228183928,,
,,,,,,,,,,,47.324253457576056,38.77557020900497,,
,,,,,,,,,,,47.32425328335552,38.775568123926,,
,,,,,,,,,,,47.32425310371451,38.77556595645597,,
,,,,,,,,,,,47.32425284246718,38.775563913045545,,
,,,,,,,,,,,47.324252559636776,38.775561831190004,,
,,,,,,,,,,,47.32425239344488,38.77555975868785,,
,,,,,,,,,,,47.32425236069731,38.77555767631014,,
,,,,,,,,,,,47.324252469245955,38.775555593957584,,
,,,,,,,,,,,47.32425263962224,38.77555357948024,,
,,,,,,,,,,,47.32425290205547,38.775551660650684,,
,,,,,,,,,,,47.32425329515427,38.77554982399377,,
,,,,,,,,,,,47.324253768566464,38.775548005411075,,
,,,,,,,,,,,47.32425429184194,38.77554621670125,,
,,,,,,,,,,,47.32425492226057,38.77554447773525,,
,,,,,,,,,,,47.32425575083831,38.775542756324526,,
,,,,,,,,,,,47.324256707809845,38.775541042011724,,
,,,,,,,,,,,47.324257771340065,38.77553905604567,,
,,,,,,,,,,,47.3242589362938,38.775536939617616,,
,,,,,,,,,,,47.32426017770991,38.77553464923398,,
,,,,,,,,,,,47.32426131150033,38.7755323143193,,
,,,,,,,,,,,47.32426229913265,38.77553004453443,,
,,,,,,,,,,,47.324263217562574,38.775527904958324,,
,,,,,,,,,,,47.32426407977938,38.77552587019072,,
,,,,,,,,,,,47.32426488960589,38.7755237042528,,
,,,,,,,,,,,47.32426558770278,38.77552145747071,,
,,,,,,,,,,,47.324266206806904,38.775519078442876,,
,,,,,,,,,,,47.32426677727913,38.775516268838004,,
,,,,,,,,,,,47.32426718026946,38.77551328263993,,
,,,,,,,,,,,47.324267446580855,38.775510280967836,,
,,,,,,,,,,,47.32426768564861,38.77550727398166,,
,,,,,,,,,,,47.32426793973159,38.775504098031504,,
,,,,,,,,,,,47.324268201310744,38.77550122298738,,
,,,,,,,,,,,47.32426853108862,38.77549817973833,,
,,,,,,,,,,,47.324268926574156,38.775495398614694,,
,,,,,,,,,,,47.32426935240155,38.775492654803706,,
,,,,,,,,,,,47.32426971124795,38.77549008204444,,
,,,,,,,,,,,47.32427008368815,38.77548745847194,,
,,,,,,,,,,,47.3242704746302,38.7754848669233,,
,,,,,,,,,,,47.324270939498746,38.775482754000095,,
,,,,,,,,,,,47.32427142250028,38.77548060497871,,
,,,,,,,,,,,47.32427193772815,38.77547829001726,,
,,,,,,,,,,,47.324272139538714,38.77547736957203,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
